,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC012360.6,33.15526035,-6.526399893,1.348321329,-4.840389123,1.30E-06,9.63E-05
DUSP6,5825.229076,3.927617989,0.811570862,4.839525631,1.30E-06,9.63E-05
TMEM163,141.8189032,-3.427443209,0.709753265,-4.829062966,1.37E-06,0.000101092
MLLT4,740.4407306,-5.082317737,1.053293645,-4.825167003,1.40E-06,0.000102676
ADAMDEC1,32.58334746,8.726162608,1.815257841,4.807120185,1.53E-06,0.000111932
SERPINE2,110.8257811,-5.061416511,1.053070131,-4.806343244,1.54E-06,0.000111932
RBFOX2,213.5423934,-5.064521457,1.054726119,-4.801740816,1.57E-06,0.000113634
GPR84,48.78201586,6.481639733,1.349715403,4.802226986,1.57E-06,0.000113634
SIGLEC7,48.06401051,9.286719879,1.935777489,4.797410824,1.61E-06,0.000115662
ASGR2,41.63744583,9.079665902,1.900106773,4.778502994,1.77E-06,0.000125854
ADRA2A,104.8510825,-6.237205835,1.305027817,-4.779366197,1.76E-06,0.000125854
NRG4,331.7433092,3.344198616,0.699899798,4.778110564,1.77E-06,0.000125854
SETBP1,673.5242706,-5.411608134,1.133568111,-4.773959395,1.81E-06,0.000127982
CECR1,4668.28135,6.78691972,1.423259145,4.768576226,1.86E-06,0.000130943
G0S2,369.3456359,9.503489214,1.993696652,4.766767905,1.87E-06,0.000131617
NCF1B,33.51265455,8.769619134,1.842632529,4.759288136,1.94E-06,0.000136068
ADAP2,144.0421883,8.074561221,1.69915861,4.752093874,2.01E-06,0.000140465
C3orf14,29.57528831,-8.142290214,1.715884494,-4.745243775,2.08E-06,0.000144753
BHLHB9,81.68371136,-4.585733109,0.966804105,-4.743187459,2.10E-06,0.000145679
RIC3,29.86111232,-8.155772388,1.723776828,-4.731338917,2.23E-06,0.000153867
ECEL1P2,21.7377448,-7.696561781,1.62700208,-4.73051748,2.24E-06,0.000153912
MPPED2,144.9539191,-4.865067629,1.030121426,-4.722809864,2.33E-06,0.000159267
BLNK,59.5412461,9.597554452,2.033278149,4.720236853,2.36E-06,0.000160696
OAS1,388.8966064,4.393324319,0.932428669,4.711700169,2.46E-06,0.000166957
ZNF286A,330.0448775,-2.960989373,0.629017472,-4.707324527,2.51E-06,0.00016995
ZNF483,31.22952224,-7.219281055,1.538164739,-4.693438143,2.69E-06,0.000179083
IL31RA,170.7334049,8.980510512,1.912439458,4.695840421,2.66E-06,0.000179083
RP11-180N14.1,36.42816172,-8.442993237,1.799063191,-4.692994264,2.69E-06,0.000179083
PLA2R1,24.27556858,-6.925316776,1.474999933,-4.695130231,2.66E-06,0.000179083
ABCB1,555.4140866,-4.745267748,1.011158505,-4.692901979,2.69E-06,0.000179083
CTB-83J4.2,29.34236055,8.570333312,1.827914299,4.688585955,2.75E-06,0.000182241
ZNF214,33.58458858,-7.318563665,1.562183594,-4.684829424,2.80E-06,0.000184948
SLAMF1,45.85727662,8.309674632,1.778440176,4.67245103,2.98E-06,0.000195751
APOL4,429.455954,-5.58551852,1.196276472,-4.669086664,3.03E-06,0.000198273
GABRB3,33.68031513,-7.326069708,1.570877985,-4.663678388,3.11E-06,0.000202834
IL10,54.81747003,9.475048557,2.034169093,4.657945393,3.19E-06,0.000207824
DNAJC5B,22.72869142,8.207540029,1.764057423,4.652649015,3.28E-06,0.000212482
RP11-575G13.2,29.08246692,5.850272042,1.258646773,4.648065025,3.35E-06,0.000216493
C6orf25,348.9511827,-3.187228576,0.687301372,-4.637308616,3.53E-06,0.000227266
BEX5,33.3440579,-8.316925137,1.797251974,-4.627578801,3.70E-06,0.000237373
HFM1,23.30171242,-7.797227913,1.686976904,-4.622012248,3.80E-06,0.000242984
BIN1,69.82890403,-6.376995375,1.383196611,-4.610331839,4.02E-06,0.000256152
SDC3,56.6859875,9.523668202,2.066456687,4.608694807,4.05E-06,0.000257284
AC079325.6,30.31533506,8.623987641,1.873012185,4.604341452,4.14E-06,0.000261818
ALDH1A1,2751.712479,-5.669993878,1.232037412,-4.602128004,4.18E-06,0.000263708
APOBEC3A,59.09207861,8.547344032,1.859333383,4.596993799,4.29E-06,0.000269362
RP11-747H7.3,19.20776197,-7.518672052,1.63650825,-4.594338007,4.34E-06,0.00027112
HTR7,144.6992216,6.256299971,1.361777964,4.594214429,4.34E-06,0.00027112
GP1BA,124.1423445,-4.696773777,1.026114897,-4.577239637,4.71E-06,0.000293072
CX3CR1,5094.478369,7.969191808,1.742315961,4.573907367,4.79E-06,0.000296769
RP11-24F11.2,23.68919084,8.26197473,1.812233208,4.55900195,5.14E-06,0.000317556
SLC8A1,2057.179419,6.102506039,1.338835743,4.558069257,5.16E-06,0.000317898
EXPH5,384.8160341,-4.408419805,0.967380286,-4.557070132,5.19E-06,0.000318346
KCNE3,151.2097079,5.998311288,1.317714564,4.552056609,5.31E-06,0.000324942
TSPAN6,27.39921562,-8.031442993,1.764883047,-4.550694169,5.35E-06,0.000325925
CCR2,520.3508723,6.490101429,1.426388573,4.550023432,5.36E-06,0.000325925
C2orf66,22.90045795,-7.772265433,1.711957526,-4.539987303,5.63E-06,0.000340702
TMTC1,284.1914555,-6.324049047,1.394247433,-4.53581545,5.74E-06,0.000346364
ABI3BP,562.8191693,-5.38625524,1.188209473,-4.533085589,5.81E-06,0.000349722
C2orf88,407.8052737,-3.716386983,0.82067976,-4.528425296,5.94E-06,0.000356355
FYB,2777.517812,6.103246705,1.349423797,4.522853917,6.10E-06,0.000364677
EMR1,996.9380334,5.13073785,1.136476326,4.514601608,6.34E-06,0.000377938
RP3-510L9.1,27.3289663,8.466336898,1.875714006,4.513660863,6.37E-06,0.000378391
AP001171.1,26.46068513,-6.977982002,1.546288373,-4.512730046,6.40E-06,0.000378776
GATA3,28.9168716,-7.10530156,1.574729596,-4.512077234,6.42E-06,0.000378776
SLC15A3,151.1192351,7.647310391,1.699932742,4.498595856,6.84E-06,0.00040229
SMPDL3A,35.45785218,7.817150018,1.737945389,4.497926152,6.86E-06,0.00040229
USP51,244.7985337,-3.540213966,0.787530978,-4.495332962,6.95E-06,0.000405928
CLEC7A,818.7658239,5.90773092,1.316369581,4.487896868,7.19E-06,0.000419019
KCNC3,64.04453559,7.943736545,1.770554364,4.486581551,7.24E-06,0.000420279
TIAM1,333.9553721,7.539394338,1.681863537,4.482762228,7.37E-06,0.000426525
ABI3,87.13558442,6.642642446,1.482689345,4.480130966,7.46E-06,0.000430459
PCLO,243.5793136,-7.300479268,1.630999062,-4.476078153,7.60E-06,0.000437332
MS4A4E,222.2059054,8.679935203,1.93948297,4.475386139,7.63E-06,0.00043738
AP001007.1,34.74507659,7.056533841,1.580667506,4.464274627,8.03E-06,0.000459267
LRG1,93.72460241,7.68648387,1.72251618,4.462358009,8.11E-06,0.000461956
SLC24A4,446.2759968,6.809751776,1.526343279,4.461481155,8.14E-06,0.000462415
AADAT,16.63420578,-7.310868786,1.639809976,-4.458363404,8.26E-06,0.000467743
IFI30,35.0536034,8.827860908,1.981314768,4.455557012,8.37E-06,0.000472446
METRNL,99.80090274,4.646455397,1.044532665,4.448358155,8.65E-06,0.000487058
AL132709.5,23.26071445,-7.800932662,1.755517154,-4.443666439,8.84E-06,0.000496284
TCTEX1D1,98.94945636,-4.201648064,0.946907693,-4.43723089,9.11E-06,0.000509792
PLA2G2F,15.02134634,7.6027697,1.715214497,4.432547481,9.31E-06,0.000519412
ST7,499.3456207,-3.103905441,0.702064842,-4.421109358,9.82E-06,0.000546026
RPL5P14,34.33013677,-5.995316689,1.35668904,-4.419079474,9.91E-06,0.000549514
HAVCR1P1,48.78480583,-4.013142708,0.909706865,-4.411467983,1.03E-05,0.00056748
TREML3P,17.96050776,7.857989437,1.783059386,4.407026204,1.05E-05,0.000577499
LINC01122,196.3716618,-6.324099226,1.43537432,-4.405888512,1.05E-05,0.0005788
CCDC170,44.62842986,5.482506636,1.24501992,4.403549331,1.06E-05,0.000583333
ABCC4,1540.448382,-3.136227883,0.712743817,-4.400217591,1.08E-05,0.000590599
HCK,576.0602583,5.642013131,1.283020764,4.397444912,1.10E-05,0.000596417
ROBO4,66.12642439,-5.431806649,1.236978817,-4.391188092,1.13E-05,0.000612027
ZDBF2,46.56869939,-8.799846996,2.00428534,-4.39051607,1.13E-05,0.00061211
CFP,502.4483869,4.358442614,0.993124346,4.388617228,1.14E-05,0.000615662
DMXL2,4705.470334,3.949991536,0.902037084,4.37896801,1.19E-05,0.000641672
CLEC4A,146.6675413,6.193988518,1.41480632,4.377976286,1.20E-05,0.000642713
GPRASP1,136.6727275,-4.496282558,1.030160003,-4.364644858,1.27E-05,0.000681194
EPHX2,18.51756716,-7.471639939,1.714244155,-4.358562296,1.31E-05,0.000698365
TRPC6,15.89264983,-7.255784022,1.665032717,-4.357742613,1.31E-05,0.000698953
AQP9,1028.497281,13.70853865,3.147251272,4.355717885,1.33E-05,0.000703407
CABLES1,669.8615433,-4.674204954,1.07334791,-4.354790195,1.33E-05,0.000704357
LILRA2,167.0583693,6.10879671,1.403697765,4.351931635,1.35E-05,0.000711555
KDELC1,73.76365917,-3.135496954,0.721973759,-4.342951406,1.41E-05,0.000737047
SLC7A7,1417.150916,4.851744985,1.117073497,4.343263892,1.40E-05,0.000737047
RP11-443B7.3,109.4106612,4.449610038,1.025968002,4.336987149,1.44E-05,0.000755168
TRHDE-AS1,33.64798172,-7.399227056,1.71004841,-4.326910872,1.51E-05,0.000788295
ABLIM1,1671.882028,-5.034396078,1.164023081,-4.324996782,1.53E-05,0.000790678
LRRC25,343.6901824,6.096883594,1.409575252,4.32533388,1.52E-05,0.000790678
ACSM3,807.355853,-4.688541653,1.08742901,-4.31158412,1.62E-05,0.000837841
PP13439,34.34568507,5.357480315,1.243268005,4.309191819,1.64E-05,0.000844575
SLC8A3,568.164604,-6.63686097,1.544776685,-4.296323886,1.74E-05,0.00089259
F2R,1472.676716,-3.582860834,0.834352743,-4.294179969,1.75E-05,0.000898741
RNF180,21.41797604,-7.676495338,1.787985808,-4.29337599,1.76E-05,0.000899491
AC011841.1,141.9408948,-4.114678219,0.96113844,-4.28104636,1.86E-05,0.000945541
SPAG16,33.86775584,-4.998954901,1.167552733,-4.2815667,1.86E-05,0.000945541
ME1,32.80212267,8.731985454,2.040799391,4.278708379,1.88E-05,0.000952887
PCDHGB8P,27.9882533,-7.133350162,1.669198076,-4.273519281,1.92E-05,0.000972659
CSTA,1125.020511,6.34303532,1.484869874,4.27177858,1.94E-05,0.000977592
HAL,132.0585749,6.42210607,1.505970022,4.264431548,2.00E-05,0.00100755
TNFSF14,16.56477154,7.739778716,1.815971969,4.262058472,2.03E-05,0.001015529
FAM81A,21.1222336,8.103841796,1.902323982,4.259969318,2.04E-05,0.001022275
RP11-65J3.1,19.18280839,6.930666404,1.628008045,4.257145059,2.07E-05,0.001029659
RP11-374A22.1,20.83042686,-6.629010473,1.557036297,-4.25745404,2.07E-05,0.001029659
TMEM136,80.20190363,-5.994034226,1.40909934,-4.253805289,2.10E-05,0.00104232
GSTM5,122.7939977,-5.10812524,1.202336045,-4.248500461,2.15E-05,0.00106443
PLEKHG4B,47.71625835,-8.833458363,2.081259698,-4.244284541,2.19E-05,0.001081722
LIPN,75.75715567,9.041756338,2.132076032,4.240822655,2.23E-05,0.001095599
EVC,44.22452606,-8.723796957,2.064285426,-4.226061399,2.38E-05,0.00116683
NCF1,99.14917701,6.301625327,1.491989748,4.223638491,2.40E-05,0.001173178
RPS6KA6,26.83140105,-6.987174174,1.654133992,-4.224067825,2.40E-05,0.001173178
ELL2P1,44.55111723,6.596342255,1.565154029,4.214500384,2.50E-05,0.001218458
BCL9,215.4647806,-3.869012962,0.918572968,-4.211982166,2.53E-05,0.001228865
RP11-680A11.5,22.03608936,4.264346788,1.012849222,4.21024837,2.55E-05,0.001235067
LAMB3,32.65937187,8.726164618,2.073534354,4.208353048,2.57E-05,0.001242192
KIAA1671,23.39687844,-6.049924574,1.438110102,-4.206857714,2.59E-05,0.001247155
XXYLT1-AS2,23.94350061,-5.866006808,1.395308318,-4.204093629,2.62E-05,0.001259187
STK33,99.46721078,-5.055374027,1.203712334,-4.199819079,2.67E-05,0.001279845
CDA,121.2197953,6.702779961,1.598010122,4.194454008,2.74E-05,0.001307101
SCN2A,21.10677274,-6.65548592,1.587913301,-4.191340873,2.77E-05,0.001321727
MANSC1,213.8390884,-3.852392266,0.922015099,-4.178231216,2.94E-05,0.001393011
RP11-598F7.3,41.77539607,-5.694332831,1.3627951,-4.178421856,2.94E-05,0.001393011
FAM47E,57.92511038,-5.591072817,1.339475897,-4.17407497,2.99E-05,0.001415027
FCGR1C,20.18545806,8.033512102,1.92512629,4.172979271,3.01E-05,0.001418197
FRMD3,143.2318706,5.281417028,1.26620638,4.171055454,3.03E-05,0.001426558
CHRDL1,18.25253722,-7.457829771,1.789525206,-4.167490766,3.08E-05,0.001445337
MTSS1,814.2385573,3.141242655,0.754384289,4.163982075,3.13E-05,0.001463996
NOG,34.4313898,-4.891356837,1.176233561,-4.158491137,3.20E-05,0.001495813
MARCO,22.31978289,8.175221857,1.968329173,4.153381441,3.28E-05,0.001525742
TREM1,2081.719792,6.581123194,1.586555085,4.148058431,3.35E-05,0.001557691
ZDHHC15,175.3514216,-4.112674708,0.992778945,-4.142588568,3.43E-05,0.001591296
GUCY1B3,1496.05009,-5.609080707,1.354851411,-4.139996947,3.47E-05,0.001601293
CCDC152,72.90500274,-4.536881709,1.095846271,-4.140071314,3.47E-05,0.001601293
TEK,141.2662281,-5.969992151,1.443513903,-4.135735818,3.54E-05,0.001627213
TNFAIP2,267.3040132,3.965541838,0.959412553,4.133302016,3.58E-05,0.001640436
RP11-848G14.5,25.43041659,7.331953746,1.774745958,4.131269445,3.61E-05,0.001647226
ARHGEF12,1349.196685,-3.837483103,0.928901212,-4.131206908,3.61E-05,0.001647226
HCG4,15.64886255,-7.220123388,1.75433443,-4.115591226,3.86E-05,0.00175845
NAIP,173.366163,4.745283516,1.154274182,4.111054019,3.94E-05,0.00178893
KCND1,46.93782144,-4.070082827,0.990573109,-4.108816191,3.98E-05,0.00180189
COBLL1,235.6566518,-3.451425344,0.841900154,-4.099566117,4.14E-05,0.001870821
PNPLA1,15.07380073,7.603636418,1.858173438,4.091995001,4.28E-05,0.001928228
GPR133,29.54776271,6.239130503,1.527947022,4.083342165,4.44E-05,0.001996578
LRP6,377.7475726,-5.627466923,1.379182588,-4.08029145,4.50E-05,0.002018019
SAMHD1,14832.80125,4.911847836,1.206536583,4.071031005,4.68E-05,0.002094832
LAMP5,47.64249674,7.03982878,1.730198078,4.068799329,4.73E-05,0.002109849
TRHDE,30.46647036,-5.974388502,1.469639238,-4.065207534,4.80E-05,0.002137407
PIR,44.00667754,-5.85135326,1.442595243,-4.056129595,4.99E-05,0.002216777
SLC9A7P1,97.79141027,6.043903178,1.493692226,4.046284149,5.20E-05,0.002306474
P2RY13,2659.803752,4.840332284,1.197472162,4.042125101,5.30E-05,0.002342121
GYPE,57.4332788,-7.153180929,1.773971508,-4.032297529,5.52E-05,0.00243057
PTPRE,2659.478079,4.115863649,1.020606483,4.032762596,5.51E-05,0.00243057
ZNF804B,15.9594574,-7.251278531,1.805815749,-4.015514061,5.93E-05,0.00260396
RAG1,52.92904166,-4.047478373,1.010173217,-4.006717171,6.16E-05,0.002696378
SLC31A2,92.29320799,4.789703859,1.196544163,4.002947829,6.26E-05,0.002733193
RP11-474N24.2,102.9321711,6.799806285,1.700093245,3.999666668,6.34E-05,0.002764781
AKR1C1,40.34868436,-6.389210592,1.597703907,-3.998995412,6.36E-05,0.002766063
CCDC175,55.66246519,-5.274488953,1.320196964,-3.995228815,6.46E-05,0.002803767
IL13RA1,2051.827433,3.096521896,0.775176261,3.994603616,6.48E-05,0.002804545
SLC36A1,553.6159089,2.519550087,0.631321148,3.990916662,6.58E-05,0.002830403
KYNU,740.9901783,6.361643914,1.593696648,3.991753338,6.56E-05,0.002830403
SSPN,27.71398354,-4.741779677,1.188190574,-3.990756853,6.59E-05,0.002830403
CPM,450.5535532,3.92355468,0.98361462,3.988914559,6.64E-05,0.002845807
PGBD1,163.1396832,-3.609191771,0.905436495,-3.986134635,6.72E-05,0.002872627
RP11-325F22.2,350.4557104,2.86750661,0.719569813,3.985029052,6.75E-05,0.002879323
MICU3,25.30043636,-5.848019113,1.468503165,-3.982299293,6.83E-05,0.00289912
TRIM7,18.83193853,4.903631557,1.231202958,3.982797088,6.81E-05,0.00289912
DENND2C,28.34609011,-4.918463302,1.235312051,-3.981555347,6.85E-05,0.002901494
RP11-677N16.1,16.18364453,5.958862244,1.498314535,3.977043609,6.98E-05,0.002950264
ADORA3,31.25093324,5.530873613,1.390999658,3.976186177,7.00E-05,0.002953663
RP11-701P16.1,43.54058338,5.401322883,1.358592379,3.975675829,7.02E-05,0.002953663
PCED1B-AS1,30.53817799,7.582743981,1.908005171,3.974173706,7.06E-05,0.002965562
TUSC1,25.84425793,-5.473960647,1.378575012,-3.970738333,7.17E-05,0.003001785
ZBTB8A,114.7586906,-5.804945276,1.462610352,-3.968893879,7.22E-05,0.003018221
RP11-47I22.1,31.61052773,-7.208826685,1.818020436,-3.965206628,7.33E-05,0.003058294
GMPR,34.72572233,-4.499604214,1.135171374,-3.963810501,7.38E-05,0.003069269
SGK1,1961.65038,5.367084131,1.355815638,3.958564851,7.54E-05,0.003130355
TIMP1,1857.656588,3.406910744,0.861865021,3.952951637,7.72E-05,0.0031975
CST3,1588.161455,4.774010515,1.207946254,3.952171299,7.74E-05,0.003200722
BEX1,382.9156872,-5.130252829,1.301856875,-3.940719544,8.12E-05,0.003349908
SDC2,47.12437214,8.199200097,2.086618584,3.929419666,8.52E-05,0.003503415
NCAM1,28.94227708,7.503597157,1.913096715,3.922225729,8.77E-05,0.003593599
FGF7,20.14371097,-7.58625034,1.93414793,-3.922269968,8.77E-05,0.003593599
PGM5,256.3910373,-5.621816612,1.434224228,-3.91976129,8.86E-05,0.003622458
CACNB2,162.2499215,-3.317341673,0.846655248,-3.918172931,8.92E-05,0.003638303
REN,27.12241807,-6.992476076,1.790985898,-3.904260823,9.45E-05,0.00383701
ADD3,4870.219637,2.528488809,0.647543355,3.904740567,9.43E-05,0.00383701
LINC00968,31.4511422,5.415028335,1.38939804,3.897391662,9.72E-05,0.00393874
ZNF366,9.602036967,6.960631806,1.786763945,3.895663904,9.79E-05,0.003958188
RP11-61J19.4,38.15508121,6.15977627,1.582609033,3.892165496,9.94E-05,0.004006891
SLFN14,22.24812324,-5.171777182,1.329220983,-3.890833237,9.99E-05,0.004020122
WLS,20.84245746,8.074421461,2.078086678,3.885507542,0.000102116,0.004100294
SERPING1,603.4480897,-4.442904886,1.144165274,-3.883097124,0.000103134,0.004132129
LACTB,757.6163834,3.046155322,0.785472614,3.878117792,0.000105268,0.004208417
RP11-389C8.2,12.10164666,6.265412914,1.617529852,3.873444998,0.000107308,0.004273676
KIAA1598,987.6956389,4.151861983,1.071915001,3.873312698,0.000107366,0.004273676
ARHGEF10L,11.60031912,7.228280165,1.866829913,3.871954329,0.000107966,0.004288267
CD200R1,78.79799393,5.673456925,1.466285359,3.869272028,0.000109161,0.004322514
STS,439.0898225,4.082044553,1.055074777,3.868962315,0.0001093,0.004322514
RP11-477H21.2,16.93938853,-7.344361865,1.898637934,-3.868226654,0.00010963,0.004326249
YES1,529.805722,-3.44947378,0.892819967,-3.863571503,0.000111741,0.004390686
RSPH1,21.41613825,-6.658639587,1.723301909,-3.86388453,0.000111598,0.004390686
ARAP1-AS2,18.88818117,4.256666802,1.102616429,3.860514582,0.000113148,0.004436485
FBP1,291.0714206,5.89589798,1.529194234,3.855558601,0.000115466,0.004517687
GPR21,41.97908063,-3.637229007,0.944184376,-3.852244433,0.00011704,0.004569544
CASP5,15.42193066,7.643217982,1.984390475,3.851670364,0.000117315,0.004570548
RP11-361F15.2,59.50548869,-3.332275074,0.865722812,-3.849124718,0.000118541,0.004608519
GPR132,41.54680224,3.732485372,0.971001874,3.843952797,0.000121068,0.004696836
HPGDS,96.19635011,-6.911929995,1.798551448,-3.843053809,0.000121513,0.004704135
FGD6,283.848668,4.973286702,1.29461986,3.841503482,0.000122283,0.004723985
PART1,22.46020556,8.183689046,2.132259892,3.838035446,0.000124023,0.004781123
SEMA4F,70.17302083,-5.533173582,1.442055418,-3.837004814,0.000124544,0.004791159
CHRM2,22.60594566,-7.757201051,2.022166322,-3.836084583,0.000125011,0.004794599
IRF4,296.8311546,11.9157084,3.107689686,3.83426584,0.00012594,0.004794599
KTN1-AS1,44.79589193,-3.298212003,0.860117528,-3.834606197,0.000125766,0.004794599
AC092964.2,19.74379424,4.049205144,1.055696977,3.8355752,0.000125271,0.004794599
